feature,shap_importance
boat,3.28656
name_mr,0.9116286
passenger_id,0.6531414
sex,0.524302
embarked,0.3125272
fare,0.25656515
age,0.13300392
name_john,0.11311803
cabin,0.099588454
name_master,0.08465163
sibsp,0.063899845
name_miss,0.059169922
name_mrs,0.053222783
home.dest_new,0.04368604
parch,0.033652212
name_thomas,0.028188597
name_joseph,0.02489637
home.dest_pa,0.019950422
name_william,0.015845884
pclass,0.011536798
ticket_pc,0.0056748297
name_maria,0.0052031106
home.dest_akron,0.0033224435
home.dest_ny,0.0027145087
name_arthur,0.0020351391
home.dest_nj,0.000836657
ticket_ston,0.0
home.dest_aberdeen,0.0
ticket_soton,0.0
ticket_sc,0.0
home.dest_altdorf,0.0
home.dest_austria,0.0
ticket_pp,0.0
home.dest_bc,0.0
home.dest_belfast,0.0
home.dest_chicago,0.0
home.dest_bernardsville,0.0
home.dest_ct,0.0
home.dest_essex,0.0
home.dest_england,0.0
home.dest_east,0.0
home.dest_devon,0.0
home.dest_detroit,0.0
home.dest_dc,0.0
home.dest_cornwall,0.0
home.dest_brooklyn,0.0
home.dest_cooperstown,0.0
ticket_oq,0.0
home.dest_chesterville,0.0
home.dest_ca,0.0
home.dest_bulgaria,0.0
home.dest_bryn,0.0
ticket_paris,0.0
ticket_6608,0.0
ticket_o2,0.0
ticket_347074,0.0
ticket_348124,0.0
ticket_347088,0.0
ticket_347082,0.0
ticket_347080,0.0
ticket_347079,0.0
ticket_347078,0.0
ticket_347077,0.0
ticket_347072,0.0
ticket_line,0.0
ticket_347054,0.0
ticket_34651,0.0
ticket_33638,0.0
ticket_33595,0.0
ticket_3337,0.0
ticket_315153,0.0
ticket_315098,0.0
ticket_349213,0.0
ticket_349237,0.0
ticket_349909,0.0
ticket_35273,0.0
ticket_ca,0.0
ticket_aq,0.0
home.dest_finland,0.0
ticket_6607,0.0
ticket_4133,0.0
ticket_392096,0.0
ticket_382652,0.0
ticket_376566,0.0
ticket_376564,0.0
ticket_370129,0.0
ticket_36973,0.0
ticket_36928,0.0
ticket_367230,0.0
ticket_363291,0.0
ticket_35281,0.0
home.dest_falls,0.0
home.dest_hants,0.0
home.dest_france,0.0
home.dest_francisco,0.0
home.dest_ruotsinphytaa,0.0
home.dest_rotherfield,0.0
home.dest_rockford,0.0
home.dest_rochester,0.0
home.dest_ri,0.0
home.dest_providence,0.0
home.dest_pq,0.0
home.dest_portland,0.0
home.dest_plymouth,0.0
home.dest_philadelphia,0.0
home.dest_park,0.0
home.dest_paris,0.0
home.dest_ottawa,0.0
home.dest_ohio,0.0
home.dest_oh,0.0
home.dest_san,0.0
home.dest_sea,0.0
home.dest_somerset,0.0
home.dest_wi,0.0
home.dest_york,0.0
home.dest_wv,0.0
home.dest_worcester,0.0
home.dest_winnipeg,0.0
home.dest_wiltshire,0.0
home.dest_wichita,0.0
home.dest_west,0.0
home.dest_st,0.0
home.dest_washington,0.0
home.dest_vancouver,0.0
home.dest_syria,0.0
home.dest_switzerland,0.0
home.dest_sweden,0.0
home.dest_stockholm,0.0
home.dest_ns,0.0
home.dest_norway,0.0
home.dest_niagara,0.0
home.dest_haverford,0.0
home.dest_ireland,0.0
home.dest_indianapolis,0.0
home.dest_india,0.0
home.dest_il,0.0
home.dest_ia,0.0
home.dest_hill,0.0
home.dest_hartford,0.0
home.dest_kent,0.0
home.dest_harrow,0.0
ticket_315095,0.0
home.dest_halifax,0.0
home.dest_haiti,0.0
home.dest_guernsey,0.0
home.dest_greenport,0.0
home.dest_island,0.0
home.dest_ks,0.0
home.dest_newark,0.0
home.dest_middlesex,0.0
home.dest_mt,0.0
home.dest_moscow,0.0
home.dest_montreal,0.0
home.dest_mn,0.0
home.dest_minneapolis,0.0
home.dest_milwaukee,0.0
home.dest_mi,0.0
home.dest_lexington,0.0
home.dest_mb,0.0
home.dest_mawr,0.0
home.dest_madrid,0.0
home.dest_ma,0.0
home.dest_london,0.0
home.dest_liverpool,0.0
ticket_315096,0.0
ticket_28220,0.0
ticket_315093,0.0
name_nellie,0.0
name_jean,0.0
name_james,0.0
name_ida,0.0
name_hocking,0.0
name_herman,0.0
name_henry,0.0
name_helen,0.0
name_heilmann,0.0
name_harry,0.0
name_harris,0.0
name_hansen,0.0
name_graham,0.0
name_goodwin,0.0
name_goldsmith,0.0
name_george,0.0
name_johan,0.0
name_johannes,0.0
name_johnston,0.0
name_leonard,0.0
name_mary,0.0
name_martin,0.0
name_marion,0.0
name_marie,0.0
name_margaret,0.0
name_louise,0.0
name_lefebre,0.0
name_jr,0.0
name_lamson,0.0
name_kink,0.0
name_kelly,0.0
name_kate,0.0
name_karl,0.0
name_jussila,0.0
name_frederick,0.0
name_frank,0.0
name_florence,0.0
name_andersson,0.0
name_cacic,0.0
name_bertram,0.0
name_bertha,0.0
name_benjamin,0.0
name_august,0.0
name_anna,0.0
name_allison,0.0
name_carter,0.0
name_alice,0.0
name_alfred,0.0
name_alexander,0.0
name_albert,0.0
name_ada,0.0
body,0.0
name_carl,0.0
name_catherine,0.0
name_ernest,0.0
name_edward,0.0
name_emma,0.0
name_emily,0.0
name_elsie,0.0
name_ellen,0.0
name_elizabeth,0.0
name_elias,0.0
name_edvin,0.0
name_charles,0.0
name_edith,0.0
name_dr,0.0
name_davies,0.0
name_daniel,0.0
name_cor,0.0
name_col,0.0
name_michael,0.0
name_nils,0.0
ticket_3101315,0.0
name_nora,0.0
ticket_2123,0.0
ticket_19950,0.0
ticket_17761,0.0
ticket_17760,0.0
ticket_17758,0.0
ticket_17757,0.0
ticket_17756,0.0
ticket_17608,0.0
ticket_17603,0.0
ticket_17593,0.0
ticket_17582,0.0
ticket_17572,0.0
ticket_17483,0.0
ticket_17477,0.0
ticket_17464,0.0
ticket_2144,0.0
ticket_220845,0.0
ticket_2315,0.0
ticket_2908,0.0
ticket_3101295,0.0
ticket_3101279,0.0
ticket_3101278,0.0
ticket_2926,0.0
ticket_29106,0.0
ticket_29105,0.0
ticket_2673,0.0
ticket_2343,0.0
ticket_2662,0.0
ticket_26360,0.0
ticket_2627,0.0
ticket_250651,0.0
ticket_244367,0.0
ticket_236853,0.0
ticket_16966,0.0
ticket_1601,0.0
ticket_14879,0.0
name_rev,0.0
name_smith,0.0
name_samuel,0.0
name_sage,0.0
name_robert,0.0
name_richard,0.0
name_rice,0.0
name_philip,0.0
name_svensson,0.0
name_peter,0.0
name_percival,0.0
name_paul,0.0
name_patrick,0.0
name_palsson,0.0
name_olof,0.0
name_sofia,0.0
name_victor,0.0
ticket_13695,0.0
ticket_113798,0.0
ticket_13236,0.0
ticket_13050,0.0
ticket_12749,0.0
ticket_11813,0.0
ticket_11769,0.0
ticket_11767,0.0
ticket_113781,0.0
name_white,0.0
ticket_113760,0.0
ticket_113505,0.0
ticket_113503,0.0
ticket_112058,0.0
ticket_111361,0.0
ticket_110152,0.0
home.dest_youngstown,0.0
